vitamin,ビタミン,,,,,,,,
role,役割,役,,,,,,,
roll,ころがる,緩やかに起伏する,ころがす,うねり,,,,,
healthy,健康な,,,,,,,,
mammal,哺乳動物,,,,,,,,
suffer,苦しむ,害を受ける,(苦痛・損害)を受ける,我慢する,,,,,
lack,不足,不足している,,,,,,,
luck,幸運,運,,,,,,,
curious,好奇心の強い,奇妙な,,,,,,,
however,しかし,どんな…でも,どのように…しても,,,,,,
nevertheless,それにもかかわらず,,,,,,,,
ape,類人猿,,,,,,,,
happen,起こる,,,,,,,,
mark,記号,印,あざ,点数,標識、徴候,に印をつける、特徴づける,,,
skin,皮膚、皮,,,,,,,,
tooth,歯,,,,,,,,
area,地域,面積,分野,,,,,,
bleed,出血する,から血液をとる,,,,,,,
couple,男女の1組,一対,,,,,,,
plenty,たくさん,豊富さ,,,,,,,
fresh,新しい,新鮮さ,,,,,,,
drug,薬,麻薬,,,,,,,
amount,量,総額,統計〜になる,〜に等しい,,,,,
sum,合計する,要約する,合計,要点,金額,,,,
body,体,死体,人,組織,,,,,
soul,魂,精神,真髄,,,,,,
spirit,精神,気分,魂,気力,,,,,
mind,精神,頭脳,心,意見,注意(力),記憶(力),嫌がる,気をつける,
insight,洞察(力),見識,,,,,,,
definition,定義,限定,,,,,,,
infinite,無限の,莫大な,,,,,,,
numerous,多数の,,,,,,,,
usual,いつもの,,,,,,,,
carefully,注意深く,注意して,,,,,,,
control,を支配する,を抑制する,支配(力),抑制,操縦,,,,
discipline,訓練,しつけ,規律,を訓練する,をしつける,を罰する,,,
alcohol,アルコール,酒,,,,,,,
instance,実例,場合,訴訟,,,,,,
instant,即刻(の),差し迫った,即席(の),瞬間,,,,,
history ,歴史(学),,,,,,,,
tie,ネクタイ,ひも,きずな,同点,を結ぶ,をつなぐ,結べる,同点になる,
bond,きずな,債券,をくっつける,,,,,,
culture,文化,教養,(細菌の)培養,を栽培する,を培養する,,,,
cultivate,を耕す,を栽培する,を養う,,,,,,
plant,植物,工場,を植える,を（しっかりと）固定する,,,,,
biology,生物学,,,,,,,,
unique,独特の,唯一の,,,,,,,
peculiar,奇妙な,独特の,,,,,,,
matter,事がら,問題,事態,物質,重要性,重要である,重要な関係がある,,
taste,味,趣味,味がする,の味を見る,,,,,
flavor,風味,趣,に風味をつける,,,,,,
cause,を引き起こす,原因,根拠,定義,,,,,
difference,違い,不一致,,,,,,,
otherwise,別なふうに,そうでなければ,他の点では,,,,,,
fact,事実,,,,,,,,
pick,運ぶ,(花などを)摘む,掘る,,,,,,
wolf,オオカミ,,,,,,,,
raise,を上げる,を育てる,を提起する,を集める,,,,,
lift,を持ち上げる,を上げる,を高揚させる,上がる,高揚する,上がること,リフト,,
breed,生む,育てる,品種,,,,,,
female,女性の,雌の,女性,雌,,,,,
birth,誕生,出産,,,,,,,
wife,妻,,,,,,,,
daughter,娘,,,,,,,,
grandparent,祖父,祖父母,,,,,,,
grandchild,孫,,,,,,,,
grand,壮大な,威厳のある,偉大な,,,,,,
cousin,いとこ,,,,,,,,
dig,掘る,突っ込む,研究する,,,,,,
hole,穴,欠点,,,,,,,
within,の内部に,の範囲内で,〜以内に,,,,,,
while,その一方で,〜する間に,〜の間ずっと,時間,,,,,
hunt,狩る,探す,探索,狩り,,,,,
instead,その代わりに,,,,,,,,
behind,(の)後に,(よりも)劣って,,,,,,,
